Entity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bonaire Sint Eustatius and Saba,187352.0,163056.0,158107.0,175390.0,158973.0,115125.0,245925.0,128448.99,109392.0,114754.0,118095.0,112485.0,125768.01,64636.996,161406.0,188919.0,36216.0,32196.998,31716.998,60375.0,64657.004,51594.0,42507.0,65618.0,62909.0,62254.0,58235.0,60943.0,3364.0,25207.0,66885.0,68108.0,65661.0,65705.0,68938.0,68326.0,71210.0,80165.0,77107.0,78899.0,54346.0,69331.0,84272.0,84272.0,84272.0,95264.0,102592.0,102592.0,98928.0,109920.0,113584.0,109453.0,110461.0
Bosnia and Herzegovina,10905834.0,11753372.0,11015797.0,13158366.0,13215196.0,13788474.0,14230517.0,13837574.0,15462132.0,16817004.0,16534994.0,17995784.0,16530495.0,17800550.0,18772106.0,19148574.0,19997306.0,19522316.0,20143922.0,20082026.0,19886236.0,14069425.0,15028713.0,12580576.0,3204952.0,3402028.0,4239503.0,8365764.5,10550597.0,10333251.0,13702201.0,13262811.0,14172601.0,14358120.0,15462454.0,16045984.0,17386820.0,17474332.0,19958648.0,20537094.0,21145704.0,23761290.0,22134174.0,21801048.0,19311786.0,18460492.0,21730408.0,22156174.0,22075036.0,20810378.0,20831812.0,19937964.0,19735710.0
Botswana,,,21984.0,51296.0,87936.0,186864.0,593568.0,780432.0,831728.0,941648.0,985616.0,1007599.94,1099200.0,1029584.06,1044240.0,1157824.0,1066224.0,1238432.0,1300720.0,1428960.0,2700368.0,2634416.0,2777312.0,3195008.0,3030128.0,3044784.0,2755328.0,2799296.0,3341568.0,3158368.0,3777584.0,3847200.0,3975440.0,3825216.0,3894832.0,4092688.0,4132991.8,4228256.0,4503056.0,3855444.0,4537275.0,4028802.0,5076711.0,5663055.0,6850164.0,5421209.0,6348201.0,7077332.0,7504259.0,6782064.0,5550960.0,6136440.0,7467293.0
Brazil,93488200.0,102337050.0,114018824.0,132060776.0,143015700.0,150326580.0,154606980.0,162363360.0,177117180.0,187787150.0,186190690.0,171324430.0,171499700.0,165899790.0,167567460.0,180110740.0,197238400.0,205967680.0,207695260.0,212071060.0,218658000.0,229394000.0,233601000.0,244306000.0,254002000.0,268678000.0,289311000.0,306949000.0,317359000.0,327256000.0,340183000.0,346165980.0,347765020.0,344645000.0,361434000.0,364371000.0,368871000.0,390573000.0,412638000.0,389775000.0,440269020.0,462580000.0,498309000.0,532418020.0,557901000.0,529353020.0,492748000.0,497121380.0,477998620.0,473464400.0,444504320.0,497206340.0,483477300.0
British Virgin Islands,18320.0,21984.0,21984.0,25648.0,25648.0,25648.0,25648.0,29312.0,29312.0,29312.0,29312.0,43968.0,36640.0,40304.0,40304.0,47632.0,54960.0,62288.0,65952.0,65952.0,65952.0,73280.0,80608.0,84272.0,84272.0,87936.0,98928.0,102592.0,102592.0,113584.0,117248.0,124576.0,142896.0,146560.0,153888.0,164880.0,179536.0,186864.0,194192.0,194192.0,212512.0,212512.0,212512.0,212512.0,216176.0,227168.0,230832.0,179536.0,161216.0,164880.0,161216.0,155352.0,156784.0
Brunei,8203696.5,7511200.0,9453120.0,9973408.0,8178048.0,7075184.0,6019952.0,6390016.0,9533728.0,7434256.0,6877328.0,2059168.1,2664731.0,2733344.0,1916272.0,2594112.0,2297328.0,3315920.0,5712176.0,6342384.0,5455696.0,7210752.0,6884656.0,6357040.0,5552968.0,5825335.0,5878721.0,6087246.0,5595279.0,5978051.0,5328739.0,5189616.0,4669874.0,5597862.0,5640577.0,5428519.0,7143688.0,8076697.5,9165561.0,7744925.0,8017381.5,9555439.0,9499828.0,7626055.0,8830992.0,6933290.0,7632908.0,9309384.0,9344461.0,10732756.0,11101930.0,11301837.0,10753688.0
Bulgaria,61173972.0,64221556.0,66078920.0,68717270.0,71136530.0,72922190.0,72964820.0,75795864.0,81207090.0,78927900.0,77250580.0,80086800.0,89844184.0,90061304.0,87044930.0,89221336.0,91172270.0,91273150.0,86913330.0,86482220.0,76637980.0,61456344.0,57306464.0,58364024.0,56367040.0,57908988.0,58460100.0,55809076.0,53115148.0,46318476.0,45413456.0,48921856.0,46099350.0,50473676.0,49525776.0,50598176.0,51836628.0,55683720.0,54022470.0,45759652.0,47808404.0,53124756.0,48289980.0,42586732.0,45161788.0,48121012.0,45336944.0,47430590.0,43479636.0,42232710.0,36533612.0,42281884.0,46147496.0
Burkina Faso,142896.0,150224.0,161216.0,168544.0,205184.0,219840.0,208848.0,249152.0,348080.0,406704.0,432352.0,556928.0,575248.0,593568.0,465328.0,476320.0,479984.0,516623.97,553264.0,820736.0,582576.0,626544.0,630208.0,626544.0,644864.0,624110.0,704700.0,804007.0,858942.0,915606.0,1029710.06,991095.0,1001313.0,1074545.0,1100145.0,1122080.0,1360129.0,1590799.0,1733545.0,1828977.0,2036372.0,2130933.0,2618914.0,2863840.0,2911488.0,3714985.0,3903988.0,4519039.0,5010070.0,5507514.0,5194114.0,5878726.0,5962168.0
Burundi,62288.0,73280.0,73280.0,73280.0,91600.0,76944.0,87936.0,98928.0,102592.0,109920.0,146560.0,157552.0,157552.0,205184.0,219840.0,230832.0,234496.0,249152.0,227168.0,267472.0,208848.0,238160.0,216176.0,227168.0,234496.0,238160.0,241824.0,249152.0,249152.0,252815.98,271136.0,205184.0,212512.0,161216.0,197856.0,153888.0,183200.0,201520.0,208848.0,168544.0,296784.0,340752.0,352023.0,359072.0,348080.0,355408.0,428688.0,512960.03,645078.0,688832.0,735766.0,800000.0,798451.0
Cambodia,1172331.0,249090.0,117348.0,128639.0,73688.0,73842.0,73996.0,74150.0,51442.0,29312.0,285792.0,300448.0,337088.0,366400.0,410368.0,417696.0,432352.0,436016.0,450672.0,450672.0,1260416.0,1304384.0,1348352.0,1384992.0,1481907.0,1555486.0,1631315.0,1551863.0,1962680.0,1894288.0,1974896.0,2249696.0,2205728.0,2377936.0,2443888.0,2773648.0,2997152.0,3471142.0,3866716.0,4557086.0,5078142.0,5274698.0,5576016.0,5636730.0,6834254.0,8365610.0,10921712.0,12475530.0,13933845.0,18219576.0,19034220.0,20130392.0,19955042.0
Cameroon,637417.0,809179.0,860357.0,896911.0,973762.0,1160537.0,1088970.0,1559048.0,1993205.0,1815342.0,3885945.0,5319124.0,6315888.0,6554480.0,6052928.0,6470624.0,1993216.0,1842992.0,2153961.0,7577693.0,2604793.0,2668440.0,2712299.0,2865801.0,4879764.0,5374671.0,5974660.0,5378781.0,5373172.0,5219450.0,5588569.0,5562424.0,5350642.0,5704622.0,5698455.0,5423858.0,5485919.0,7409373.0,7320619.0,8554963.0,8383322.0,8105014.0,7603374.0,7849517.0,8771510.0,9850663.0,9958010.0,9578064.0,9645489.0,9591827.0,9701611.0,10297741.0,9572651.0
Canada,341177200.0,352287420.0,380791680.0,381273180.0,389616930.0,396786780.0,398962240.0,407790430.0,415528670.0,441676770.0,442846850.0,429629730.0,414454900.0,408338500.0,425233340.0,421718700.0,404707940.0,430982050.0,455669100.0,462885150.0,458503070.0,450159600.0,464012830.0,464554180.0,479033000.0,491825700.0,508196640.0,522577280.0,530276260.0,544482050.0,567096100.0,559147000.0,564373800.0,581427200.0,579689400.0,574763650.0,568584500.0,593755260.0,576808640.0,544139650.0,556062100.0,565254000.0,565781760.0,569539700.0,566353000.0,570680400.0,557689700.0,566651900.0,577066300.0,578587700.0,522845280.0,537173760.0,547943900.0
Cape Verde,36581.0,36610.0,51266.0,62229.0,65952.0,76944.0,73280.0,80608.0,208542.0,249152.0,120912.0,32976.0,36640.0,36640.0,84272.0,84272.0,58624.0,80608.0,73280.0,80608.0,179536.0,164880.0,179536.0,172208.0,175872.0,197856.0,216176.0,227168.0,241824.0,289456.0,296784.0,348080.0,381056.0,414032.0,425024.0,447008.0,494640.0,505631.97,468992.0,520288.0,556928.0,615552.0,501968.03,494640.0,487312.0,490976.0,494640.0,509296.0,538608.0,560592.0,516623.97,558858.0,568778.0
